,screen_name,text,is_quote,is_retweet,retweet_text
90,UN_CYPRUS,"The outcome of #COP26 is a compromise.
  
It is an important step, but it is not enough. 

It is time to go into emergency mode. 

-- @antonioguterres calls for accelerated #ClimateAction as UN climate conference closes in Glasgow. https://t.co/5PbonP2dPo https://t.co/kYhOEIwiXa",FALSE,TRUE,"The outcome of #COP26 is a compromise.
  
It is an important step, but it is not enough. 

It is time to go into emergency mode. 

-- @antonioguterres calls for accelerated #ClimateAction as UN climate conference closes in Glasgow. https://t.co/5PbonP2dPo https://t.co/kYhOEIwiXa"
93,UN_CYPRUS,"The outcome of #COP26 is a compromise.
  
It is an important step, but it is not enough. 

It is time to go into emergency mode. 

— @UN chief @antonioguterres on conclusion of @UNFCCC climate conference in Glasgow https://t.co/MfUiHbOFFD https://t.co/8uoLPeAnhO",FALSE,TRUE,"The outcome of #COP26 is a compromise.
  
It is an important step, but it is not enough. 

It is time to go into emergency mode. 

— @UN chief @antonioguterres on conclusion of @UNFCCC climate conference in Glasgow https://t.co/MfUiHbOFFD https://t.co/8uoLPeAnhO"
94,UN_CYPRUS,"My message to young people, indigenous communities, women leaders, all those leading on #ClimateAction:

I know you might be disappointed. But we're in the fight of our lives &amp; this fight must be won. 

Never give up.
Never retreat. 
Keep pushing forward. 
I am with you. 

#COP26",FALSE,TRUE,"My message to young people, indigenous communities, women leaders, all those leading on #ClimateAction:

I know you might be disappointed. But we're in the fight of our lives &amp; this fight must be won. 

Never give up.
Never retreat. 
Keep pushing forward. 
I am with you. 

#COP26"
95,UN_CYPRUS,"The #COP26 outcome is a compromise, reflecting the interests, contradictions &amp; state of political will in the world today. 

It's an important step, but it's not enough. 
It's time to go into emergency mode. 

The climate battle is the fight of our lives &amp; that fight must be won. https://t.co/NluZWgOJ9p",FALSE,TRUE,"The #COP26 outcome is a compromise, reflecting the interests, contradictions &amp; state of political will in the world today. 

It's an important step, but it's not enough. 
It's time to go into emergency mode. 

The climate battle is the fight of our lives &amp; that fight must be won. https://t.co/NluZWgOJ9p"
97,UN_CYPRUS,"In divided Cyprus, UN sees environment as unifier https://t.co/eTvNLi6pSj",FALSE,FALSE,NA
105,UN_CYPRUS,"The @UN Youth Champions 4 Environment &amp; Peace teamed up with our #peacekeepers from military, civilian and @UNPOL for a cleanup inside the #bufferzone in the eastern part of #Cyprus today to reduce illegal dumping, an environmental challenges in the area. #A4P #GreeningTheBlue🌱 https://t.co/fGCamVbbRj",FALSE,FALSE,NA
107,UN_CYPRUS,"""The @UN is committed to leading by example in reducing our carbon &amp; environmental footprint in all our operations around the globe. Together, let’s achieve a sustainable, net-zero &amp; resilient world for all” -- @antonioguterres on #GreeingTheBlue Report

https://t.co/Owdy46MqSp https://t.co/qxGss8LepC",FALSE,TRUE,"""The @UN is committed to leading by example in reducing our carbon &amp; environmental footprint in all our operations around the globe. Together, let’s achieve a sustainable, net-zero &amp; resilient world for all” -- @antonioguterres on #GreeingTheBlue Report

https://t.co/Owdy46MqSp https://t.co/qxGss8LepC"
109,UN_CYPRUS,"The #ClimateAction struggle requires all hands on deck. 

It is everyone’s responsibility.  

Every country, every city, every company, every financial institution must radically, credibly &amp; verifiably reduce their emissions &amp; decarbonize their portfolios starting now. #COP26",FALSE,TRUE,"The #ClimateAction struggle requires all hands on deck. 

It is everyone’s responsibility.  

Every country, every city, every company, every financial institution must radically, credibly &amp; verifiably reduce their emissions &amp; decarbonize their portfolios starting now. #COP26"
114,UN_CYPRUS,"As Secretary-General of the @UN, I have many battles, but the fight against the climate crisis is the most important battle of my life.

It is a battle we can and must win.

We cannot give up. I will not give up.

#COP26 https://t.co/OHWPED4UUj",FALSE,TRUE,"As Secretary-General of the @UN, I have many battles, but the fight against the climate crisis is the most important battle of my life.

It is a battle we can and must win.

We cannot give up. I will not give up.

#COP26 https://t.co/OHWPED4UUj"
117,UN_CYPRUS,"A carbon-free transport industry is critical to achieving the #GlobalGoals and fighting climate change. 

On Transport Day at #COP26 , watch experts discuss what the future of sustainable transport looks like &amp; what it will take for us to get there.

🔗https://t.co/I0x2IsCgGf https://t.co/I6u1i2QeWR",FALSE,TRUE,"A carbon-free transport industry is critical to achieving the #GlobalGoals and fighting climate change. 

On Transport Day at #COP26 , watch experts discuss what the future of sustainable transport looks like &amp; what it will take for us to get there.

🔗https://t.co/I0x2IsCgGf https://t.co/I6u1i2QeWR"
136,UN_CYPRUS,"Climate change undermines ☮️
The Environment Strategy for Field Missions details ways for peace ops. to pose minimum risk to ecosystems

The 5️⃣strategy pillars:
💡Energy
💧Water &amp; wastewater
🗑️Solid waste
🍃Wider impact
♻️Environment mgm't system

🔍https://t.co/HzSghLCKtc #COP26 https://t.co/Yvja11CVCv",FALSE,TRUE,"Climate change undermines ☮️
The Environment Strategy for Field Missions details ways for peace ops. to pose minimum risk to ecosystems

The 5️⃣strategy pillars:
💡Energy
💧Water &amp; wastewater
🗑️Solid waste
🍃Wider impact
♻️Environment mgm't system

🔍https://t.co/HzSghLCKtc #COP26 https://t.co/Yvja11CVCv"
140,UN_CYPRUS,"Young climate activists met Rex, the Dinosaur, at #COP26 &amp; they all agree:

We can no longer ignore the climate crisis. 

It's time to stop making excuses! 

Let's take #ClimateAction before it’s too late. https://t.co/VRymFWLHGn #DontChooseExtinction https://t.co/15ei9GqAUX",FALSE,TRUE,"Young climate activists met Rex, the Dinosaur, at #COP26 &amp; they all agree:

We can no longer ignore the climate crisis. 

It's time to stop making excuses! 

Let's take #ClimateAction before it’s too late. https://t.co/VRymFWLHGn #DontChooseExtinction https://t.co/15ei9GqAUX"
145,UN_CYPRUS,"📣 Do you want to find out about social enterprises/co-operatives and how they make a positive contribution to the environment and peacebuilding? 🕊🌱

📌Don't forget to join the next interactive workshop this Thursday 11 November!

For more information 👇
https://t.co/itnvuIcj0I https://t.co/NA9fgIgIX6",FALSE,FALSE,NA
146,UN_CYPRUS,"In line w/ the Environment Strategy for Field Missions, we aim for max. efficiency in our use of natural resources &amp; operate @ minimum risk to people &amp; ecosystems. For yrs, @UN_CYPRUS peacekeepers have conducted bicycle patrols of the buffer zone

🔍https://t.co/S0NFVdVGhV #COP26 https://t.co/ASUJ4YZ4a4",FALSE,TRUE,"In line w/ the Environment Strategy for Field Missions, we aim for max. efficiency in our use of natural resources &amp; operate @ minimum risk to people &amp; ecosystems. For yrs, @UN_CYPRUS peacekeepers have conducted bicycle patrols of the buffer zone

🔍https://t.co/S0NFVdVGhV #COP26 https://t.co/ASUJ4YZ4a4"
147,UN_CYPRUS,"It’s Youth and Public Empowerment Day at #COP26

Young climate leaders around the world are an unstoppable force.

Today and everyday we take inspiration from these young people.

#TogetherForOurPlanet",FALSE,TRUE,"It’s Youth and Public Empowerment Day at #COP26

Young climate leaders around the world are an unstoppable force.

Today and everyday we take inspiration from these young people.

#TogetherForOurPlanet"
148,UN_CYPRUS,"The environment is too often the unpublicized victim of war. 
❎Polluted water wells
❎Crops torched
❎Forests cut down
❎Soils poisoned 
❎Animals killed

#EnvConflictDay info: https://t.co/mQGXEtJhJr https://t.co/nMnCWm59gm",FALSE,TRUE,"The environment is too often the unpublicized victim of war. 
❎Polluted water wells
❎Crops torched
❎Forests cut down
❎Soils poisoned 
❎Animals killed

#EnvConflictDay info: https://t.co/mQGXEtJhJr https://t.co/nMnCWm59gm"
149,UN_CYPRUS,"Climate change undermines peace. 7 of the 12 countries most vulnerable to - and less able to cope with - climate change host a peacekeeping op. or a special political mission.

Taking #ClimateAction is essential for peace &amp; security. Learn why👉https://t.co/YkJvZvvPws @WFP #COP26 https://t.co/eJifbtc0Cd",FALSE,TRUE,"Climate change undermines peace. 7 of the 12 countries most vulnerable to - and less able to cope with - climate change host a peacekeeping op. or a special political mission.

Taking #ClimateAction is essential for peace &amp; security. Learn why👉https://t.co/YkJvZvvPws @WFP #COP26 https://t.co/eJifbtc0Cd"
152,UN_CYPRUS,"👉 Are you 18–35? Do you want to find out about social enterprises/co-operatives and how they make a positive contribution to the environment and peacebuilding? 

📍 Join us on 11 November 18.00 EET!

For more: https://t.co/NaTGIM3XJX https://t.co/Av4zAIN6qt",FALSE,FALSE,NA
161,UN_CYPRUS,"I had a fascinating &amp; frank discussion with students &amp; faculty of @Cambridge_Uni on ethics of climate change.

Actually listening to young people is critical. They are our best allies for #ClimateAction.

Not taking into account future generations is ethically indefensible. https://t.co/bgNcFtGeDK",FALSE,TRUE,"I had a fascinating &amp; frank discussion with students &amp; faculty of @Cambridge_Uni on ethics of climate change.

Actually listening to young people is critical. They are our best allies for #ClimateAction.

Not taking into account future generations is ethically indefensible. https://t.co/bgNcFtGeDK"
167,UN_CYPRUS,Inspired to meet so many @UN_CYPRUS Youth Champions for Environment and Peace last night at @H4Cooperation. These leaders will bring #ClimateAction to Cyprus! https://t.co/wV0HHqdDaQ,FALSE,TRUE,Inspired to meet so many @UN_CYPRUS Youth Champions for Environment and Peace last night at @H4Cooperation. These leaders will bring #ClimateAction to Cyprus! https://t.co/wV0HHqdDaQ
170,UN_CYPRUS,"Top @UN official in #Cyprus, Elizabeth Spehar, and US Ambassador, Judith Garber, met with the #UN Youth Champions for Environment and Peace to hear their thoughts on #climatechange, the urgent need to protect the environment and promote peace on the island. #COP26 https://t.co/Vgzd6wmua9",FALSE,FALSE,NA
174,UN_CYPRUS,"Discussion between Top @UN official in #Cyprus, Elizabeth Spehar and @USAmbCy, Judith Garber and the @UN_CYPRUS Youth Champions for #Environment and #Peace. @USEmbassyCyprus #COP26 #ClimateAction #ClimateEmergency https://t.co/W6Tl8ukFn7",FALSE,TRUE,"Discussion between Top @UN official in #Cyprus, Elizabeth Spehar and @USAmbCy, Judith Garber and the @UN_CYPRUS Youth Champions for #Environment and #Peace. @USEmbassyCyprus #COP26 #ClimateAction #ClimateEmergency https://t.co/W6Tl8ukFn7"
175,UN_CYPRUS,Do you want to find out about social enterprises/co-operatives and how they make a positive contribution to the environment &amp; peacebuilding? Join British Council Cyprus &amp; UNFICYP for an interactive workshop on 11/11 at The Base by @CyprusInno. Register at https://t.co/sOhAslm4vq https://t.co/VbG3Y466i4,FALSE,TRUE,Do you want to find out about social enterprises/co-operatives and how they make a positive contribution to the environment &amp; peacebuilding? Join British Council Cyprus &amp; UNFICYP for an interactive workshop on 11/11 at The Base by @CyprusInno. Register at https://t.co/sOhAslm4vq https://t.co/VbG3Y466i4
177,UN_CYPRUS,"#COP26: @UNEP joins 10 international agencies in a call for urgent &amp; integrated water &amp; #ClimateAction
 
The #ClimateCrisis is disrupting water cycles, with more extreme droughts, floods and water stress, resulting in increased socio-economic impacts: https://t.co/HI5VtqU09K https://t.co/ZPEn9N2vpc",FALSE,TRUE,"#COP26: @UNEP joins 10 international agencies in a call for urgent &amp; integrated water &amp; #ClimateAction
 
The #ClimateCrisis is disrupting water cycles, with more extreme droughts, floods and water stress, resulting in increased socio-economic impacts: https://t.co/HI5VtqU09K https://t.co/ZPEn9N2vpc"
178,UN_CYPRUS,"Join @UN Deputy Secretary-General @AminaJMohammed, @UNDP's @ASteiner, @UNFCCC's @PEspinosaC, @UNEP's @andersen_inger, and partners at #COP26 for the launch of the next phase of our #ClimatePromise.

📅3 November (TODAY)
🕖7:30am EST/11:30am GMT
📣RSVP: https://t.co/ZI2TDFuEIC https://t.co/Ppu0kA0Ygr",FALSE,TRUE,"Join @UN Deputy Secretary-General @AminaJMohammed, @UNDP's @ASteiner, @UNFCCC's @PEspinosaC, @UNEP's @andersen_inger, and partners at #COP26 for the launch of the next phase of our #ClimatePromise.

📅3 November (TODAY)
🕖7:30am EST/11:30am GMT
📣RSVP: https://t.co/ZI2TDFuEIC https://t.co/Ppu0kA0Ygr"
180,UN_CYPRUS,"📢 Greta's message is loud and clear:

Our lives and that of future generations are at risk. We MUST take #ClimateAction NOW! We can't afford to wait any longer.

#COP26 #TogetherForOurPlanet https://t.co/CpI4nJgDrP",FALSE,TRUE,"📢 Greta's message is loud and clear:

Our lives and that of future generations are at risk. We MUST take #ClimateAction NOW! We can't afford to wait any longer.

#COP26 #TogetherForOurPlanet https://t.co/CpI4nJgDrP"
181,UN_CYPRUS,"At the UN climate summit #COP26, leaders have pledged to take critical steps to save and restore forests.

Efforts will focus on #ClimateAction to preserve biodiversity, achieve #ZeroHunger, protect the rights of indigenous peoples &amp; more. https://t.co/CzF9Q6Ox3a",FALSE,TRUE,"At the UN climate summit #COP26, leaders have pledged to take critical steps to save and restore forests.

Efforts will focus on #ClimateAction to preserve biodiversity, achieve #ZeroHunger, protect the rights of indigenous peoples &amp; more. https://t.co/CzF9Q6Ox3a"
182,UN_CYPRUS,"I was humbled by the passion and insight of the young climate activists I met today and expressed my full support for their unrelenting pressure on leaders to step up.

At this #COP26 climate conference, we need concrete #ClimateAction not empty promises. https://t.co/nudjWEiHCY",FALSE,TRUE,"I was humbled by the passion and insight of the young climate activists I met today and expressed my full support for their unrelenting pressure on leaders to step up.

At this #COP26 climate conference, we need concrete #ClimateAction not empty promises. https://t.co/nudjWEiHCY"
187,UN_CYPRUS,"Secretary-General @antonioguterres shares powerful message as #COP26 kicks off🌎

UN Peacekeeping, in line w/ the Environment Strategy for Field Missions, is committed to responsible missions that achieve max. efficiency in use of natural resources.

Read👉https://t.co/2m105sY5MQ https://t.co/67jGw1i24g",FALSE,TRUE,"Secretary-General @antonioguterres shares powerful message as #COP26 kicks off🌎

UN Peacekeeping, in line w/ the Environment Strategy for Field Missions, is committed to responsible missions that achieve max. efficiency in use of natural resources.

Read👉https://t.co/2m105sY5MQ https://t.co/67jGw1i24g"
189,UN_CYPRUS,"📅Starting soon at #COP26
⏰ 7:30 AM–9 AM EST
👉 Glasgow Women’s Leadership on Gender Equality and Climate Change, organized by the @scotgov &amp; UN Women.

Join @unwomenchief, @ScotGovFM  @NicolaSturgeon and female heads of government by registering here: https://t.co/ez2U1xVHgh https://t.co/RT66T8x4WX",FALSE,TRUE,"📅Starting soon at #COP26
⏰ 7:30 AM–9 AM EST
👉 Glasgow Women’s Leadership on Gender Equality and Climate Change, organized by the @scotgov &amp; UN Women.

Join @unwomenchief, @ScotGovFM  @NicolaSturgeon and female heads of government by registering here: https://t.co/ez2U1xVHgh https://t.co/RT66T8x4WX"
190,UN_CYPRUS,"""It’s time to say: enough. 
Enough of brutalizing biodiversity.
Enough of killing ourselves with carbon.
Enough of treating nature like a toilet.
Enough of burning and drilling and mining our way deeper.""

-- @antonioguterres at #COP26. #ClimateAction https://t.co/phZ2PIpMHF",FALSE,TRUE,"""It’s time to say: enough. 
Enough of brutalizing biodiversity.
Enough of killing ourselves with carbon.
Enough of treating nature like a toilet.
Enough of burning and drilling and mining our way deeper.""

-- @antonioguterres at #COP26. #ClimateAction https://t.co/phZ2PIpMHF"
191,UN_CYPRUS,"Today is Day 2 of the World Leaders Summit at #COP26 , designed to galvanize climate action at the highest level. See the updated list of speakers: https://t.co/5SaQxokMaM https://t.co/qt0Wu4xA8Y",FALSE,TRUE,"Today is Day 2 of the World Leaders Summit at #COP26 , designed to galvanize climate action at the highest level. See the updated list of speakers: https://t.co/5SaQxokMaM https://t.co/qt0Wu4xA8Y"
194,UN_CYPRUS,"The climate crisis is here. #COP26 must be a turning point to protect people and the planet.
 
Leaders, the world is watching and urging you to rise to this moment. There’s no time to lose. #ActNow. https://t.co/zruhUorFCX  

@UN @antonioguterres @COP26 https://t.co/U0Q7ijYNOf",FALSE,TRUE,"The climate crisis is here. #COP26 must be a turning point to protect people and the planet.
 
Leaders, the world is watching and urging you to rise to this moment. There’s no time to lose. #ActNow. https://t.co/zruhUorFCX  

@UN @antonioguterres @COP26 https://t.co/U0Q7ijYNOf"
199,UN_CYPRUS,"I stand with the world's young people who continue to demand urgent #ClimateAction. 

They will not - and should not - stop, until leaders protect our planet - and their future. #COP26",FALSE,TRUE,"I stand with the world's young people who continue to demand urgent #ClimateAction. 

They will not - and should not - stop, until leaders protect our planet - and their future. #COP26"
203,UN_CYPRUS,"Good Offices staff from  @UN_CYPRUS and their families participated in the #letsdoitcyprus campaign, cleaning a beach in Kiti, #Larnaca, as their contribution to the protection of the #environment on the island. 
👉 https://t.co/Vqzl9vv79l https://t.co/Vv6c6nr9Do",FALSE,FALSE,NA
206,UN_CYPRUS,"UN Peacekeeping works with Member States to recruit &amp; retain women peacekeepers. 

👩🏾🧕🏽👩serve as police, military &amp; civilian staff &amp; positively impact  peacekeeping environments, including support to women's rights &amp; roles as peacebuilders. #womeninpeacekeeping #UNSCR1325 #A4P https://t.co/Db58yCMEbj",FALSE,TRUE,"UN Peacekeeping works with Member States to recruit &amp; retain women peacekeepers. 

👩🏾🧕🏽👩serve as police, military &amp; civilian staff &amp; positively impact  peacekeeping environments, including support to women's rights &amp; roles as peacebuilders. #womeninpeacekeeping #UNSCR1325 #A4P https://t.co/Db58yCMEbj"
210,UN_CYPRUS,Let's listen to the young #ClimateAction activists like @GretaThunberg who are leading us to a more sustainable future! #COP26 https://t.co/P4vQ6YLHrs,FALSE,TRUE,Let's listen to the young #ClimateAction activists like @GretaThunberg who are leading us to a more sustainable future! #COP26 https://t.co/P4vQ6YLHrs
211,UN_CYPRUS,"Humanity faces a stark and urgent choice: breakdown or breakthrough.

The #ClimateAction choices we make today could result in further breakdown of our planet, or a breakthrough to a better, more sustainable, peaceful future for people and planet.

https://t.co/RfjiZuwRT3 https://t.co/llDWYcjbFa",FALSE,TRUE,"Humanity faces a stark and urgent choice: breakdown or breakthrough.

The #ClimateAction choices we make today could result in further breakdown of our planet, or a breakthrough to a better, more sustainable, peaceful future for people and planet.

https://t.co/RfjiZuwRT3 https://t.co/llDWYcjbFa"
212,UN_CYPRUS,"📢18–35? @cybritish invites you to a workshop on social enterprises/co-operatives and how they make a positive contribution to the environment and peacebuilding!

🗓️Thurs 11 Nov 18.00–20.00 at the Base by 
@CyprusInno
 (next to Ledra Palace)
🖱️https://t.co/n0B70M07ZQ https://t.co/2kVeAtfmPV",FALSE,TRUE,"📢18–35? @cybritish invites you to a workshop on social enterprises/co-operatives and how they make a positive contribution to the environment and peacebuilding!

🗓️Thurs 11 Nov 18.00–20.00 at the Base by 
@CyprusInno
 (next to Ledra Palace)
🖱️https://t.co/n0B70M07ZQ https://t.co/2kVeAtfmPV"
213,UN_CYPRUS,"Climate change is a threat to peace🕊️. 

Seven of the 10 countries most vulnerable and least prepared to deal w/ climate change, host a peacekeeping operation or special political mission.

We must take urgent #ClimateAction ⬇️
https://t.co/dgwmH2RQ2j https://t.co/djZK1SUwec",FALSE,TRUE,"Climate change is a threat to peace🕊️. 

Seven of the 10 countries most vulnerable and least prepared to deal w/ climate change, host a peacekeeping operation or special political mission.

We must take urgent #ClimateAction ⬇️
https://t.co/dgwmH2RQ2j https://t.co/djZK1SUwec"
219,UN_CYPRUS,"We can no longer ignore the climate crisis. 

It's time to stop making excuses and start making changes!

Let's take #ClimateAction before it’s too late: https://t.co/UaBpA8VLbn
via @UNDP #DontChooseExtinction https://t.co/y2zZsSc0lB",FALSE,TRUE,"We can no longer ignore the climate crisis. 

It's time to stop making excuses and start making changes!

Let's take #ClimateAction before it’s too late: https://t.co/UaBpA8VLbn
via @UNDP #DontChooseExtinction https://t.co/y2zZsSc0lB"
223,UN_CYPRUS,"“When you are at the verge of the abyss, you need to be very careful about your next step.” 

-- @antonioguterres reflects on the climate crisis, calling it “the most important political battle of my life”. 

Full story in the @washingtonpost: https://t.co/xoBFOHXtRF",FALSE,TRUE,"“When you are at the verge of the abyss, you need to be very careful about your next step.” 

-- @antonioguterres reflects on the climate crisis, calling it “the most important political battle of my life”. 

Full story in the @washingtonpost: https://t.co/xoBFOHXtRF"
227,UN_CYPRUS,"If we are to stand a chance of limiting global temperature rise to 1.5°C, we have to #ActNow to cut our greenhouse gas emissions in half.

@UNEP explains why urgent #ClimateAction is needed to close the #EmissionsGap: https://t.co/dka66cXZCm",FALSE,TRUE,"If we are to stand a chance of limiting global temperature rise to 1.5°C, we have to #ActNow to cut our greenhouse gas emissions in half.

@UNEP explains why urgent #ClimateAction is needed to close the #EmissionsGap: https://t.co/dka66cXZCm"
230,UN_CYPRUS,"Looking for advice on how to use your actions - and your voice - to influence change?

Ahead of #COP26, speak up and urge world leaders, elected officials, city and local businesses &amp; more to take urgent #ClimateAction.

#ActNow: https://t.co/tm6zmleK5T https://t.co/J82gjbwHvS",FALSE,TRUE,"Looking for advice on how to use your actions - and your voice - to influence change?

Ahead of #COP26, speak up and urge world leaders, elected officials, city and local businesses &amp; more to take urgent #ClimateAction.

#ActNow: https://t.co/tm6zmleK5T https://t.co/J82gjbwHvS"
239,UN_CYPRUS,"On Sunday's #UNDay 🇺🇳 see how we are: 

🌲 taking #ClimateAction
🗣 working to #StandUp4HumanRights 
👩 empowering women &amp; girls
🦠 supporting the #COVID19 response
🌊 achieving the #GlobalGoals
➕ much more.

https://t.co/A4vlMHJDoM https://t.co/Cya3ot38ZE",FALSE,TRUE,"On Sunday's #UNDay 🇺🇳 see how we are: 

🌲 taking #ClimateAction
🗣 working to #StandUp4HumanRights 
👩 empowering women &amp; girls
🦠 supporting the #COVID19 response
🌊 achieving the #GlobalGoals
➕ much more.

https://t.co/A4vlMHJDoM https://t.co/Cya3ot38ZE"
263,UN_CYPRUS,"Protecting our planet 🌍 is in everyone's interest &amp; everyone has a role to play. 

As world leaders are gathering in Glasgow for #COP26,  urgent need for #ClimateAction to limit global warming to 1.5 °C is needed.

Go to https://t.co/mkhMfeRRYN &amp; learn how you can help! https://t.co/ZK6LY8im7k",FALSE,TRUE,"Protecting our planet 🌍 is in everyone's interest &amp; everyone has a role to play. 

As world leaders are gathering in Glasgow for #COP26,  urgent need for #ClimateAction to limit global warming to 1.5 °C is needed.

Go to https://t.co/mkhMfeRRYN &amp; learn how you can help! https://t.co/ZK6LY8im7k"
271,UN_CYPRUS,"It's time to close the ambition gap.

The @UNFCCC Climate Change Conference #COP26 is the world's best chance to increase climate ambition and kickstart a decade of #ClimateAction.

#ParisAgreement #ClimateCrisis

https://t.co/XnYxkgnU2T",FALSE,TRUE,"It's time to close the ambition gap.

The @UNFCCC Climate Change Conference #COP26 is the world's best chance to increase climate ambition and kickstart a decade of #ClimateAction.

#ParisAgreement #ClimateCrisis

https://t.co/XnYxkgnU2T"
